x,y,z
0,48.0,0
0.82,46.59,0
1.75,44.97,0
2.56,43.56,0
3.49,41.95,0
4.42,40.34,0
5.24,38.93,0
6.17,37.31,0
6.99,35.9,0
7.92,34.29,0
8.85,32.67,0
9.66,31.26,0
10.6,29.65,0
11.53,28.03,0
11.54,28.02,0
12.34,26.73,0
13.04,25.73,0
13.84,24.71,0
14.54,23.91,0
15.34,23.07,0
16.74,21.77,0
17.54,21.12,0
19.04,20.04,0
20.54,19.12,0
21.94,18.39,0
23.44,17.73,0
24.94,17.19,0
26.44,16.76,0
27.94,16.43,0
29.44,16.2,0
30.94,16.06,0
32.34,16.02,0
32.34,16.02,0
33.35,16.1,0
34.34,16.34,0
35.3,16.75,0
36.87,17.64,0
38.21,18.39,0
39.54,19.12,0
41.07,19.93,0
42.4,20.63,0
43.73,21.3,0
45.26,22.06,0
46.59,22.71,0
47.92,23.33,0
49.26,23.95,0
50.78,24.63,0
52.12,25.21,0
53.45,25.77,0
54.97,26.39,0
56.31,26.92,0
57.64,27.43,0
58.97,27.92,0
60.5,28.47,0
61.83,28.93,0
63.16,29.38,0
64.69,29.87,0
66.02,30.28,0
67.36,30.67,0
68.88,31.1,0
70.21,31.46,0
71.55,31.81,0
72.88,32.13,0
74.4,32.49,0
75.74,32.78,0
77.07,33.06,0
78.59,33.36,0
79.93,33.6,0
81.26,33.83,0
82.6,34.04,0
84.12,34.26,0
85.45,34.43,0
86.79,34.59,0
88.31,34.76,0
89.64,34.88,0
90.98,34.99,0
92.5,35.1,0
